Predicted complex	Size (# of subunits)	Co-complex membership_UniProtKB AC	Co-complex membership_UniProtKB EntryName	# of matched subunit in public DB	"""Novel"" proteins"	Annotated proteins	Best-matching CORUM complex	Best-matchng REACTOME complex	Best-mathng PINdb complex	Best-matching HPRD complex	Best-mathng Gene Ontology Cell Component complex	Best-matching MEMO complex, Malovannaya et al	Best-matching FLY complex (orthology), Guruharsha et al.	Best-matching YEAST complex (orthology), Babu el al.,	Taxonomic group
C_29	2	Q8WVY7,Q14558	UBCP1_HUMAN,KPRA_HUMAN	0	Q14558,Q8WVY7,	-	-	-	-	-	-	-	-	-	Fungi
C_30	2	Q8WXI9,Q13330	P66B_HUMAN,MTA1_HUMAN	0	Q13330,Q8WXI9,	-	-	-	-	-	-	AM000168 (5.67e-04)	-	-	vertebrates
C_31	2	Q9NRY2,Q68E01	SOSSC_HUMAN,INT3_HUMAN	2	-	Q68E01,Q9NRY2,	-	-	PINdb_272::hSSB2 Complex- DNA repair (1.38e-03)	-	GO:0070876|SOSS complex (2.90e-04)	AM000088 (2.80e-03)	-	-	vertebrates
C_32	2	Q13043,Q99584	STK4_HUMAN,S10AD_HUMAN	0	Q13043,Q99584,	-	-	-	-	-	-	-	-	-	vertebrates
C_33	2	O60488,O95573	ACSL4_HUMAN,ACSL3_HUMAN	0	O60488,O95573,	-	-	-	-	-	-	-	-	-	vertebrates
C_34	2	Q14764,Q9H444	MVP_HUMAN,CHM4B_HUMAN	0	Q14764,Q9H444,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_35	2	O43752,Q8TDX6	STX6_HUMAN,CGAT1_HUMAN	0	O43752,Q8TDX6,	-	-	-	-	-	-	-	-	-	Fungi
C_36	2	Q9BQ67,Q9P287	GRWD1_HUMAN,BCCIP_HUMAN	0	Q9BQ67,Q9P287,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_37	2	Q9UI15,O15305	TAGL3_HUMAN,PMM2_HUMAN	0	O15305,Q9UI15,	-	-	-	-	-	-	-	-	-	Fungi
C_38	2	P13693,Q99426	TCTP_HUMAN,TBCB_HUMAN	0	P13693,Q99426,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_39	2	Q96SI9,Q9UBS0	STRBP_HUMAN,KS6B2_HUMAN	0	Q96SI9,Q9UBS0,	-	-	-	-	-	-	-	-	-	vertebrates
C_40	2	P61024,P06493	CKS1_HUMAN,CDK1_HUMAN	0	P06493,P61024,	-	-	-	-	-	-	-	F_48 (7.15E-08)	Y_32 (1.86E-03)	Fungi
C_41	2	P13995,Q96CN9	MTDC_HUMAN,GCC1_HUMAN	0	P13995,Q96CN9,	-	-	-	-	-	-	-	-	-	Fungi
C_42	2	Q9BZK3,Q96K17	NACP1_HUMAN,BT3L4_HUMAN	0	Q96K17,Q9BZK3,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_43	2	Q8NFH4,Q9Y4L1	NUP37_HUMAN,HYOU1_HUMAN	0	Q8NFH4,Q9Y4L1,	-	-	-	-	-	-	-	-	-	multicellularity
C_44	2	O76094,Q9UHB9	SRP72_HUMAN,SRP68_HUMAN	2	-	O76094,Q9UHB9,	-	REACT_15665~Signal Recognition Particle Complex [cytosol] (2.75e-04)	-	-	-	AM001535 (2.55e-04)	F_314 (5.86E-06)	Y_51 (1.16E-03)	Fungi
C_45	2	O75794,Q8IZP0	CD123_HUMAN,ABI1_HUMAN	0	O75794,Q8IZP0,	-	-	-	-	-	-	-	-	-	vertebrates
C_46	2	Q9Y5P6,Q96IJ6	GMPPB_HUMAN,GMPPA_HUMAN	2	-	Q9Y5P6,Q96IJ6	-	-	-	-	-	-	-	-	Plants &Protists
C_47	2	Q9BYT8,O14772	NEUL_HUMAN,FPGT_HUMAN	0	O14772,Q9BYT8,	-	-	-	-	-	-	-	-	-	birds
C_48	2	Q13505,Q9NZ45	MTX1_HUMAN,CISD1_HUMAN	0	Q13505,Q9NZ45,	-	-	-	-	-	-	-	-	-	vertebrates
C_49	2	Q9Y3C1,Q9H4G0	NOP16_HUMAN,E41L1_HUMAN	0	Q9H4G0,Q9Y3C1,	-	-	-	-	-	-	-	-	-	vertebrates
C_50	2	Q6L8Q7,Q9UBZ4	PDE12_HUMAN,APEX2_HUMAN	0	Q6L8Q7,Q9UBZ4,	-	-	-	-	-	-	-	-	-	Fungi
C_51	2	P55327,Q9NR31	TPD52_HUMAN,SAR1A_HUMAN	0	P55327,Q9NR31,	-	-	-	-	-	-	-	-	-	vertebrates
C_52	2	P52848,Q17RY0	NDST1_HUMAN,CPEB4_HUMAN	0	P52848,Q17RY0,	-	-	-	-	-	-	-	-	-	vertebrates
C_53	2	Q15369,Q15370	ELOC_HUMAN,ELOB_HUMAN	2	-	Q15369,Q15370,	CORUM_5270::VHL-TCEB1-TCEB2 complex (4.82e-05)	REACT_2434~Elongin B:C complex [nucleoplasm] (2.98e-05)	-	HPRD_828::in vitro (7.75e-05)	-	AM000275 (9.55e-05)	F_61 (1.23E-04)	-	Fungi
C_54	2	Q6ZNB6,Q14677	NFXL1_HUMAN,EPN4_HUMAN	0	Q14677,Q6ZNB6,	-	-	-	-	-	-	-	-	-	vertebrates
C_55	2	Q92547,Q03169	TOPB1_HUMAN,TNAP2_HUMAN	0	Q03169,Q92547,	-	-	-	-	-	-	-	-	-	vertebrates
C_56	2	O00743,Q5H9R7	PPP6_HUMAN,PP6R3_HUMAN	2	-	O00743,Q5H9R7,	-	-	-	HPRD_3064::in vivo (8.38e-05)	-	-	-	Y_95 (1.76E-05)	vertebrates
C_57	2	Q96IG2,Q13616	FXL20_HUMAN,CUL1_HUMAN	0	Q13616,Q96IG2,	-	-	-	-	-	-	-	-	-	Fungi
C_58	2	P0C1Z6,P28370	TFPT_HUMAN,SMCA1_HUMAN	0	P0C1Z6,P28370,	-	-	-	-	-	-	-	-	-	birds
C_59	2	P99999,P36404	CYC_HUMAN,ARL2_HUMAN	0	P36404,P99999,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_60	2	Q7Z4G1,Q9H0A8	COMD6_HUMAN,COMD4_HUMAN	0	Q7Z4G1,Q9H0A8,	-	-	-	-	-	-	-	-	-	vertebrates
C_61	2	Q9Y4P1,P31946	ATG4B_HUMAN,1433B_HUMAN	0	P31946,Q9Y4P1,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_62	2	P29084,P29083	T2EB_HUMAN,T2EA_HUMAN	2	-	P29083,P29084,	CORUM_152::TFIIE complex (1.89e-05)	REACT_2368~TFIIE [nucleoplasm] (3.11e-05)	PINdb_102::TFIIE Complex- transcription (5.27e-04)	HPRD_2870::in vitro (2.25e-03)	-	-	F_334 (5.86E-06)	Y_664 (4.13E-05)	multicellularity
C_63	2	Q92889,P07992	XPF_HUMAN,ERCC1_HUMAN	2	-	P07992,Q92889,	CORUM_2220::RAD52-ERCC4-ERCC1 complex (4.91e-05)	REACT_3454~ERCC1:XPF complex [nucleoplasm] (3.04e-05)	-	HPRD_1718::in vivo (7.89e-05)	GO:0000109|nucleotide-excision repair complex (3.01e-04)	AM000965 (3.64e-05)	-	Y_290 (1.24E-04)	vertebrates
C_64	2	Q9UJW0,Q9NZ32	DCTN4_HUMAN,ARP10_HUMAN	0	Q9NZ32,Q9UJW0,	-	-	-	-	-	-	AM000592 (6.90e-04)	F_35 (2.11E-04)	-	multicellularity
C_65	2	Q8IZ69,Q14147	TRM2A_HUMAN,DHX34_HUMAN	0	Q14147,Q8IZ69,	-	-	-	-	-	-	-	-	-	Fungi
C_66	2	P30711,P78417	GSTT1_HUMAN,GSTO1_HUMAN	0	P30711,P78417,	-	-	-	-	-	-	-	-	-	vertebrates
C_67	2	Q9NVS9,Q93052	PNPO_HUMAN,LPP_HUMAN	0	Q93052,Q9NVS9,	-	-	-	-	-	-	-	-	-	vertebrates
C_68	2	P32455,Q00535	GBP1_HUMAN,CDK5_HUMAN	0	P32455,Q00535,	-	-	-	-	-	-	-	-	-	vertebrates
C_69	2	P68871,Q8TB36	HBB_HUMAN,GDAP1_HUMAN	0	P68871,Q8TB36,	-	-	-	-	-	-	-	-	-	vertebrates
C_70	2	P11498,Q13765	PYC_HUMAN,NACA_HUMAN	0	P11498,Q13765,	-	-	-	-	-	-	-	-	-	vertebrates
C_71	2	O95067,Q13535	CCNB2_HUMAN,ATR_HUMAN	0	O95067,Q13535,	-	-	-	-	-	-	-	-	-	vertebrates
C_72	2	Q12882,Q8WUX2	DPYD_HUMAN,CHAC2_HUMAN	0	Q12882,Q8WUX2,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_73	2	Q2NKX8,Q13085	ERC6L_HUMAN,ACACA_HUMAN	0	Q13085,Q2NKX8,	-	-	-	-	-	-	-	-	-	vertebrates
C_74	2	Q06546,Q06547	GABPA_HUMAN,GABP1_HUMAN	2	-	Q06546,Q06547,	-	-	-	HPRD_2482::in vivo (8.55e-05)	-	AM002333 (3.71e-05)	-	-	vertebrates
C_75	2	P52907,P47756	CAZA1_HUMAN,CAPZB_HUMAN	2	-	P47756,P52907,	CORUM_2247::Dynactin complex (DCTN1, DCTN2, DCTN3, DCTN4, DCTN6, CAPZA1, CAPZB, ACTR1A) (3.07e-04)	REACT_26977~F-actin capping protein [cytosol] (7.53e-05)	-	HPRD_2628::in vitro and in vivo (8.21e-05)	GO:0071203|WASH complex (3.14e-03)	AM000055 (1.01e-04)	F_13 (7.97E-04)	Y_124 (2.48E-04)	Plants &Protists
C_76	2	Q68D10,Q96KG9	SPT2_HUMAN,NTKL_HUMAN	0	Q68D10,Q96KG9,	-	-	-	-	-	-	-	-	-	vertebrates
C_77	2	P47712,P12277	PA24A_HUMAN,KCRB_HUMAN	0	P12277,P47712,	-	-	-	-	-	-	-	-	-	multicellularity
C_78	2	Q68CZ2,Q9NZL9	TENS3_HUMAN,MAT2B_HUMAN	0	Q68CZ2,Q9NZL9,	-	-	-	-	-	-	-	-	-	vertebrates
C_79	2	Q9UPS6,Q9P0U4	SET1B_HUMAN,CXXC1_HUMAN	2	-	Q9P0U4,Q9UPS6,	-	-	PINdb_266::Set1B Complex- transcription (5.86e-03)	-	GO:0048188|Set1C/COMPASS complex (1.43e-03)	-	-	-	vertebrates
C_80	2	Q99755,P48729	PI51A_HUMAN,KC1A_HUMAN	2	-	P48729,Q99755,	-	-	-	-	GO:0005847|mRNA cleavage and polyadenylation specificity factor complex (1.22e-03)	-	-	-	vertebrates
C_81	2	Q15024,Q5RKV6	EXOS7_HUMAN,EXOS6_HUMAN	2	-	Q15024,Q5RKV6,	CORUM_788::Exosome (4.57e-04)	REACT_21115~Exosome Ring Hexamer [cytosol] (2.79e-04)	-	HPRD_1452::in vivo (1.21e-03)	-	AM000401 (1.03e-03)	F_41 (2.11E-04)	Y_17 (4.96E-03)	Plants &Protists
C_82	2	Q86TN4,P57772	TRPT1_HUMAN,SELB_HUMAN	0	P57772,Q86TN4,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_83	2	Q15022,Q15910	SUZ12_HUMAN,EZH2_HUMAN	2	-	Q15022,Q15910,	CORUM_995::Polycomb repressive complex 3 (PRC3) (1.36e-04)	-	PINdb_92::EED-EZH2 Complex- transcription (4.22e-03)	HPRD_3117::in vivo (8.05e-05)	GO:0035098|ESC/E(Z) complex (1.41e-03)	AM000728 (1.64e-04)	-	-	multicellularity
C_84	2	Q9BTA9,Q9H974	WAC_HUMAN,QTRD1_HUMAN	0	Q9BTA9,Q9H974,	-	-	-	-	-	-	-	-	-	vertebrates
C_85	2	P47813,Q13045	IF1AX_HUMAN,FLII_HUMAN	0	P47813,Q13045,	-	-	-	-	-	-	-	-	-	Fungi
C_86	2	P49815,Q9NQ88	TSC2_HUMAN,TIGAR_HUMAN	0	P49815,Q9NQ88,	-	-	-	-	-	-	-	-	-	multicellularity
C_87	2	O94973,O95782	AP2A2_HUMAN,AP2A1_HUMAN	2	-	O94973,O95782,	CORUM_247::RalBP1-CCNB1-AP2A-NUMB-EPN1 complex (1.86e-04)	REACT_22454~CRMP-2:NUMB:alpha adaptin [plasma membrane] (1.28e-04)	-	-	-	-	-	-	Fungi
C_88	2	Q99962,Q9UI26	SH3G2_HUMAN,IPO11_HUMAN	0	Q99962,Q9UI26,	-	-	-	-	-	-	-	-	-	multicellularity
C_89	2	Q6ZW49,P78316	PAXI1_HUMAN,NOP14_HUMAN	0	P78316,Q6ZW49,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_90	2	P33981,O43414	TTK_HUMAN,ERI3_HUMAN	0	O43414,P33981,	-	-	-	-	-	-	-	-	-	birds
C_91	2	Q96HA7,Q9Y6X3	TONSL_HUMAN,SCC4_HUMAN	0	Q96HA7,Q9Y6X3,	-	-	-	-	-	-	-	-	-	multicellularity
C_92	2	Q9H0H5,Q02241	RGAP1_HUMAN,KIF23_HUMAN	2	-	Q02241,Q9H0H5,	CORUM_929::CEN complex (5.54e-03)	REACT_25726~Centralspindlin [cytosol] (7.40e-05)	-	HPRD_3121::in vivo (1.42e-04)	-	AM000427 (9.72e-05)	F_245 (5.27E-05)	-	vertebrates
C_93	2	Q96B97,Q12884	SH3K1_HUMAN,SEPR_HUMAN	0	Q12884,Q96B97,	-	-	-	-	-	-	-	-	-	vertebrates
C_94	2	Q9UKI8,P49441	TLK1_HUMAN,INPP_HUMAN	0	P49441,Q9UKI8,	-	-	-	-	-	-	-	-	-	vertebrates
C_95	2	Q13112,Q13111	CAF1B_HUMAN,CAF1A_HUMAN	2	-	Q13111,Q13112,	CORUM_2234::Chromatin assembly complex (CAF-1 complex) (4.99e-05)	-	PINdb_105::CAF-1 Complex- DNA replication (1.44e-03)	HPRD_892::in vitro and in vivo (8.73e-05)	GO:0033186|CAF-1 complex (1.77e-04)	AM000228 (3.79e-05)	-	Y_307 (1.24E-04)	vertebrates
C_96	2	Q32P51,Q7L1Q6	RA1L2_HUMAN,BZW1_HUMAN	0	Q32P51,Q7L1Q6,	-	-	-	-	-	-	-	-	-	Fungi
C_97	2	P60033,P53634	CD81_HUMAN,CATC_HUMAN	0	P53634,P60033,	-	-	-	-	-	-	-	-	-	vertebrates
C_98	2	Q4J6C6,P13798	PPCEL_HUMAN,ACPH_HUMAN	0	P13798,Q4J6C6,	-	-	-	-	-	-	-	-	-	vertebrates
C_99	2	O15344,Q96T60	TRI18_HUMAN,PNKP_HUMAN	0	O15344,Q96T60,	-	-	-	-	-	-	-	-	-	vertebrates
C_100	2	Q96HC4,Q6PJG2	PDLI5_HUMAN,CN043_HUMAN	0	Q6PJG2,Q96HC4,	-	-	-	-	-	-	-	-	-	birds
C_101	2	Q8N9N7,Q02388	LRC57_HUMAN,CO7A1_HUMAN	0	Q02388,Q8N9N7,	-	-	-	-	-	-	-	-	-	vertebrates
C_102	2	Q14161,P00966	GIT2_HUMAN,ASSY_HUMAN	0	P00966,Q14161,	-	-	-	-	-	-	-	-	-	vertebrates
C_103	2	P42167,O75531	LAP2B_HUMAN,BAF_HUMAN	0	O75531,P42167,	-	-	-	-	-	-	-	-	-	vertebrates
C_104	2	P35237,Q9BSU1	SPB6_HUMAN,CP070_HUMAN	0	P35237,Q9BSU1,	-	-	-	-	-	-	-	-	-	vertebrates
C_105	2	P46934,P11532	NEDD4_HUMAN,DMD_HUMAN	0	P11532,P46934,	-	-	-	-	-	-	-	-	-	NA
C_106	2	Q96GD0,Q9ULK4	PLPP_HUMAN,MED23_HUMAN	0	Q96GD0,Q9ULK4,	-	-	-	-	-	-	-	-	-	Fungi
C_107	2	P61204,P84077	ARF3_HUMAN,ARF1_HUMAN	0	P61204,P84077,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_108	2	Q7L7X3,Q8N5C6	TAOK1_HUMAN,SRBD1_HUMAN	0	Q7L7X3,Q8N5C6,	-	-	-	-	-	-	-	-	-	Fungi
C_109	2	O95487,Q15437	SC24B_HUMAN,SC23B_HUMAN	0	O95487,Q15437,	-	-	-	-	-	-	-	F_2 (5.29E-03)	Y_65 (2.94E-06)	vertebrates
C_110	2	O95455,Q99714	TGDS_HUMAN,HCD2_HUMAN	0	O95455,Q99714,	-	-	-	-	-	-	-	-	-	Fungi
C_111	2	Q96S55,Q08170	WRIP1_HUMAN,SRSF4_HUMAN	0	Q08170,Q96S55,	-	-	-	-	-	-	-	-	-	vertebrates
C_112	2	Q02809,Q99618	PLOD1_HUMAN,CDCA3_HUMAN	0	Q02809,Q99618,	-	-	-	-	-	-	-	-	-	birds
C_113	3	Q6UXN9,Q6PHR2,P09936	WDR82_HUMAN,ULK3_HUMAN,UCHL1_HUMAN	0	P09936,Q6PHR2,Q6UXN9,	-	-	-	-	-	-	-	-	-	vertebrates
C_114	3	Q12972,P36873,P35240	PP1R8_HUMAN,PP1G_HUMAN,MERL_HUMAN	2	P35240	Q12972,P36873	-	-	-	-	-	-	F_26 (4.03E-08)	-	Fungi
C_115	3	Q13099,Q8WYA0,Q9NQC8	IFT88_HUMAN,IFT81_HUMAN,IFT46_HUMAN	0	Q13099,Q8WYA0,Q9NQC8,	-	-	-	-	-	-	-	-	-	Fungi
C_116	3	Q8N6T7,Q96QC0,Q9UG63	SIRT6_HUMAN,PP1RA_HUMAN,ABCF2_HUMAN	0	Q8N6T7,Q96QC0,Q9UG63,	-	-	-	-	-	-	-	-	-	Fungi
C_117	3	Q96CM3,Q9NP92,Q9HC36	RUSD4_HUMAN,RT30_HUMAN,RMTL1_HUMAN	0	Q96CM3,Q9HC36,Q9NP92,	-	-	-	-	-	-	-	-	-	vertebrates
C_118	3	P07099,Q92820,Q9NXV6	HYEP_HUMAN,GGH_HUMAN,CARF_HUMAN	0	P07099,Q92820,Q9NXV6,	-	-	-	-	-	-	-	-	-	vertebrates
C_119	3	Q5T8P6,Q9H2M9,Q8NFH3	RBM26_HUMAN,RBGPR_HUMAN,NUP43_HUMAN	0	Q5T8P6,Q8NFH3,Q9H2M9,	-	-	-	-	-	-	-	-	-	multicellularity
C_120	3	Q5PRF9,P29350,Q9NVE7	SMAG2_HUMAN,PTN6_HUMAN,PANK4_HUMAN	0	P29350,Q5PRF9,Q9NVE7,	-	-	-	-	-	-	-	-	-	vertebrates
C_121	3	Q8IWB7,P83876,Q96EM0	WDFY1_HUMAN,TXN4A_HUMAN,PRCM_HUMAN	0	P83876,Q8IWB7,Q96EM0,	-	-	-	-	-	-	-	-	-	Fungi
C_122	3	O75368,Q9UNZ2,Q9BS40	SH3L1_HUMAN,NSF1C_HUMAN,LXN_HUMAN	0	O75368,Q9BS40,Q9UNZ2,	-	-	-	-	-	-	-	-	-	vertebrates
C_123	3	P61019,P10619,P04181	RAB2A_HUMAN,PPGB_HUMAN,OAT_HUMAN	0	P04181,P10619,P61019,	-	-	-	-	-	-	-	-	-	vertebrates
C_124	3	Q53FA7,P53350,Q6P9B6	QORX_HUMAN,PLK1_HUMAN,K1609_HUMAN	0	P53350,Q53FA7,Q6P9B6,	-	-	-	-	-	-	-	-	-	vertebrates
C_125	3	Q9P270,P78346,Q5VZK9	SLAI2_HUMAN,RPP30_HUMAN,LR16A_HUMAN	0	P78346,Q5VZK9,Q9P270,	-	-	-	-	-	-	-	-	-	vertebrates
C_126	3	Q9Y6K5,Q96ME1,Q9HD42	OAS3_HUMAN,FXL18_HUMAN,CHM1A_HUMAN	0	Q96ME1,Q9HD42,Q9Y6K5,	-	-	-	-	-	-	-	-	-	birds
C_127	3	Q9Y6E0,Q9HCD5,Q66GS9	STK24_HUMAN,NCOA5_HUMAN,CP135_HUMAN	0	Q66GS9,Q9HCD5,Q9Y6E0,	-	-	-	-	-	-	-	-	-	vertebrates
C_128	3	Q96AY3,P42892,Q9H3Z4	FKB10_HUMAN,ECE1_HUMAN,DNJC5_HUMAN	0	P42892,Q96AY3,Q9H3Z4,	-	-	-	-	-	-	-	-	-	vertebrates
C_129	3	Q99719,Q9P0V9,O00273	SEPT5_HUMAN,SEP10_HUMAN,DFFA_HUMAN	0	O00273,Q99719,Q9P0V9,	-	-	-	-	-	-	AM000040 (1.49e-03)	-	Y_64 (1.74E-08)	vertebrates
C_130	3	Q00613,Q13322,Q6ZUT9	HSF1_HUMAN,GRB10_HUMAN,DEN5B_HUMAN	0	Q00613,Q13322,Q6ZUT9,	-	-	-	-	-	-	-	-	-	vertebrates
C_131	3	Q92696,O75526,Q9BRP7	PGTA_HUMAN,HNRGT_HUMAN,FDXA1_HUMAN	0	O75526,Q92696,Q9BRP7,	-	-	-	-	-	-	-	-	-	vertebrates
C_132	3	Q99973,P10155,Q9BTK6	TEP1_HUMAN,RO60_HUMAN,PA1_HUMAN	2	Q9BTK6,	P10155,Q99973,	-	-	-	-	-	-	-	-	vertebrates
C_133	3	Q16637,Q9UHI6,P38432	SMN_HUMAN,DDX20_HUMAN,COIL_HUMAN	2	P38432,	Q16637,Q9UHI6,	CORUM_3284::SMN complex (GEMIN5,2,3,4, SMN) (3.21e-04)	REACT_10714~SMN complex [nucleoplasm] (9.16e-04)	-	HPRD_786::in vivo (7.58e-04)	-	AM000236 (1.48e-03)	-	-	vertebrates
C_134	3	Q9H446,Q6PCB5,P55039	RWDD1_HUMAN,RSBNL_HUMAN,DRG2_HUMAN	2	Q6PCB5	Q9H446,P55039	-	-	-	-	-	-	-	Y_183 (3.72E-04)	multicellularity
C_135	3	Q9BQ95,Q16611,Q9NRK6	ECSIT_HUMAN,BAK_HUMAN,ABCBA_HUMAN	0	Q16611,Q9BQ95,Q9NRK6,	-	-	-	-	-	-	-	-	-	Fungi
C_136	3	O95359,O43663,O75694	TACC2_HUMAN,PRC1_HUMAN,NU155_HUMAN	0	O43663,O75694,O95359,	-	-	-	-	-	-	-	-	-	vertebrates
C_137	3	Q9HD33,Q8N983,Q96KA5	RM47_HUMAN,RM43_HUMAN,CLP1L_HUMAN	2	Q96KA5,	Q8N983,Q9HD33,	CORUM_324::39S ribosomal subunit, mitochondrial (2.46e-02)	-	-	-	-	-	-	-	vertebrates
C_138	3	Q9NQW7,Q9NP79,O75663	XPP1_HUMAN,VTA1_HUMAN,TIPRL_HUMAN	0	O75663,Q9NP79,Q9NQW7,	-	-	-	-	-	-	-	-	-	Fungi
