A census of human transcription factors: function, expression and evolution
Juan M Vaquerizas, Sarah K Kummerfeld, Sarah A Teichmann, Nicholas M Luscombe

Supplementary Table 2
List of TF-encoding loci classified as 'a', 'b', 'c', 'x', or selected from other databases (classified as 'other'; see Supplementary Material). For TFs included in the repertoire, the list also contains accompanying information including: Ensembl gene IDs (release 51), HGNC identifiers, IPI IDs, associated DNA-binding Interpro domains and families, and tissue specificity if any.

Last modified on Tuesday 10 Feb 2009 14:39

Downloaded from the Nature Reviews Genetics website: Downloaded from the Nature Reviews Genetics website: http://www.nature.com/nrg/journal/v10/n4/index.html 

--Table start--
Class	Ensembl ID	IPI ID	Interpro DBD	Interpro DNA-binding family	HGNC symbol	Tissue-specificity
a	ENSG00000067955	IPI00016746;IPI00024871		IPR003417	CBFB	lymph.node;thymus;tonsil;whole.blood.JJV
a	ENSG00000068305	IPI00219254;IPI00219255;IPI00398406;IPI00555797;IPI00747318	IPR002100		MEF2A	fetal.brain;whole.brain
a	ENSG00000068323	IPI00019490;IPI00873893	IPR011598		TFE3	
a	ENSG00000069011	IPI00019182	IPR001356;IPR009057;IPR012287	IPR016233	PITX1	pituitary;tongue
a	ENSG00000069667	IPI00018225;IPI00107635;IPI00218544;IPI00243584;IPI00641207	IPR001628	IPR001723;IPR003079	RORA	
a	ENSG00000069812	IPI00001055;IPI00061562	IPR011598		HES2	
a	ENSG00000070444	IPI00016177	IPR011598		MNT	general
a	ENSG00000071564	IPI00013929;IPI00216911;IPI00647762;IPI00719590	IPR011598		TCF3	general
a	ENSG00000072310	IPI00220878;IPI00418428;IPI00419318;IPI00795043;IPI00796121	IPR011598		SREBF1	adrenal.cortex;adrenal.gland
a	ENSG00000072736	IPI00005240;IPI00030369;IPI00215624;IPI00215625;IPI00215626;IPI00215627;IPI00556671	IPR002909;IPR008967;IPR011539	IPR008366	NFATC3	thymus;whole.blood.JJV
a	ENSG00000073282	IPI00184272;IPI00301360;IPI00479019;IPI00513733;IPI00514017;IPI00514155;IPI00514298;IPI00514384;IPI00514665;IPI00514807;IPI00514871;IPI00514961	IPR002117;IPR008967;IPR011615;IPR012346;IPR015551		TP63	salivary.gland;skin;thymus;tongue;tonsil;trachea
a	ENSG00000073861	IPI00007732	IPR008967	IPR001699	TBX21	whole.blood.JJV
a	ENSG00000074047	IPI00018888;IPI00221102;IPI00332823;IPI00784005	IPR007087;IPR015880		GLI2	general
a	ENSG00000074219	IPI00018174;IPI00550685;IPI00642774		IPR000818;IPR016361	TEAD2	
a	ENSG00000075407	IPI00165086	IPR007086;IPR007087;IPR015880		ZNF37A	
a	ENSG00000075426	IPI00011593;IPI00657842;IPI00893858	IPR004827;IPR011616;IPR011700		FOSL2	adrenal.cortex;appendix;lung;ovary;tongue
a	ENSG00000075891	IPI00179609;IPI00220545;IPI00375134;IPI00375136;IPI00395548;IPI00872704	IPR009057;IPR011991		PAX2	
a	ENSG00000077092	IPI00022989;IPI00219013;IPI00219014;IPI00651730;IPI00745428	IPR001628	IPR001723;IPR003078	RARB	
a	ENSG00000077150	IPI00411715;IPI00807463;IPI00845373	IPR002909;IPR008967;IPR011539	IPR000451	NFKB2	
a	ENSG00000078399	IPI00010744;IPI00031722;IPI00382764	IPR000047;IPR001356;IPR009057;IPR012287	IPR017112	HOXA9	kidney;pancreas;prostate;skin;uterus
a	ENSG00000078900	IPI00006160;IPI00215708;IPI00215709;IPI00215710;IPI00215711;IPI00215712;IPI00607588;IPI00607833;IPI00607886	IPR002117;IPR008967;IPR011615;IPR012346;IPR015551		TP73	
a	ENSG00000079432	IPI00045360	IPR000910;IPR009071		CIC	general
a	ENSG00000080298	IPI00009298;IPI00102829;IPI00640355;IPI00646621	IPR003150;IPR011991		RFX3	
a	ENSG00000081059	IPI00003325;IPI00219960;IPI00219961;IPI00219962;IPI00219964;IPI00219965;IPI00334125;IPI00385101;IPI00402002;IPI00477092;IPI00477635;IPI00478219;IPI00478950;IPI00478992;IPI00479370;IPI00479759	IPR000910;IPR009071		TCF7	thymus
a	ENSG00000081189	IPI00215666;IPI00289092;IPI00334512	IPR002100		MEF2C	fetal.brain;tonsil;whole.brain
a	ENSG00000082175	IPI00168906;IPI00219021;IPI00297419	IPR001628	IPR001723	PGR	
a	ENSG00000082641	IPI00031017;IPI00376971;IPI00414968	IPR004827;IPR008917;IPR011700		NFE2L1	general
a	ENSG00000083307	IPI00016576;IPI00736700	IPR007604		GRHL2	pancreas;placenta;prostate
a	ENSG00000084093	IPI00159969;IPI00816294;IPI00816510;IPI00816561	IPR007087;IPR015880		REST	general
a	ENSG00000086102	IPI00030404;IPI00158157;IPI00158159;IPI00843917	IPR000967		NFX1	
a	ENSG00000087510	IPI00023260;IPI00791453	IPR013854	IPR004979	TFAP2C	placenta;skin
a	ENSG00000087903	IPI00107801;IPI00298182	IPR003150;IPR011991		RFX2	bone.marrow;testis
a	ENSG00000089225	IPI00082832;IPI00216449;IPI00218492;IPI00335687	IPR008967	IPR001699;IPR002070	TBX5	
a	ENSG00000089902	IPI00008531	IPR001005;IPR009057;IPR014778		RCOR1	placenta;whole.blood.JJV
a	ENSG00000090447	IPI00009005;IPI00556379	IPR011598		TFAP4	general
a	ENSG00000090612	IPI00009267;IPI00796989;IPI00902668	IPR007086;IPR007087;IPR015880		ZNF10	
a	ENSG00000091010	IPI00016424	IPR000327;IPR001356;IPR009057;IPR010982;IPR012287;IPR013847	IPR015584	POU4F3	
a	ENSG00000091831	IPI00218352;IPI00294982;IPI00877891;IPI00902535	IPR001628	IPR000324;IPR001723	ESR1	prostate;uterus
a	ENSG00000092067	IPI00217782	IPR004827;IPR011700	IPR016468	CEBPE	bone.marrow
a	ENSG00000095794	IPI00014322;IPI00060518;IPI00216396;IPI00332389;IPI00337311;IPI00337364;IPI00337365;IPI00337613;IPI00375605;IPI00375650;IPI00376140;IPI00376141;IPI00376142;IPI00377146;IPI00377149;IPI00413378;IPI00472878;IPI00640968;IPI00641528;IPI00748922;IPI00847200;IPI00847295;IPI00847382;IPI00847411;IPI00847491;IPI00847704;IPI00847842;IPI00848007;IPI00848206;IPI00848332;IPI00876879;IPI00877147	IPR004827;IPR011616	IPR001630	CREM	adrenal.cortex;adrenal.gland;testis
a	ENSG00000095951	IPI00783879	IPR007087;IPR015880		HIVEP1	
a	ENSG00000096401	IPI00465294	IPR001005;IPR009057;IPR012287;IPR014778	IPR015495	CDC5L	general
a	ENSG00000099326	IPI00004569;IPI00063385	IPR007087;IPR015880		MZF1	fetal.thyroid;prostate;thyroid
a	ENSG00000100146	IPI00010781;IPI00852884;IPI00853081	IPR000910;IPR009071		SOX10	salivary.gland;spinal.cord;trachea;whole.brain
a	ENSG00000100219	IPI00056479;IPI00411953;IPI00878907;IPI00879158	IPR004827;IPR011700		XBP1	liver;prostate;salivary.gland;trachea
a	ENSG00000100625	IPI00006525	IPR001356;IPR009057;IPR012287		SIX4	
a	ENSG00000100644	IPI00003442;IPI00332963;IPI00377113;IPI00788876	IPR001321;IPR011598		HIF1A	smooth.muscle
a	ENSG00000100811	IPI00014513	IPR007087;IPR015880		YY1	general
a	ENSG00000100968	IPI00292684;IPI00385215	IPR002909;IPR008967;IPR011539	IPR008366	NFATC4	general
a	ENSG00000100987	IPI00165074;IPI00215633;IPI00215634;IPI00886819	IPR001356;IPR009057;IPR012287		VSX1	
a	ENSG00000101057	IPI00019993;IPI00872609	IPR001005;IPR009057;IPR012287;IPR014778	IPR015495	MYBL2	general
a	ENSG00000101076	IPI00013196;IPI00216080;IPI00300558;IPI00412368;IPI00641248;IPI00645235;IPI00847265	IPR001628	IPR000003;IPR001723	HNF4A	liver
a	ENSG00000101096	IPI00247309;IPI00297845;IPI00871770	IPR002909;IPR008967;IPR011539	IPR008366	NFATC2	
a	ENSG00000101190	IPI00219462;IPI00384114;IPI00873596;IPI00880158	IPR011598		TCFL5	spinal.cord;testis;thyroid;whole.brain
a	ENSG00000101216	IPI00159770;IPI00645960	IPR000770;IPR010919		GMEB2	testis;thymus
a	ENSG00000101412	IPI00005630;IPI00816797	IPR003316;IPR011991	IPR015633;IPR015634	E2F1	
a	ENSG00000102034	IPI00170744	IPR000418;IPR011991		ELF4	bone.marrow;lung;placenta;thymus;whole.blood.JJV
a	ENSG00000102145	IPI00013999;IPI00607766;IPI00640714;IPI00748957	IPR000679	IPR016374	GATA1	
a	ENSG00000102349	IPI00478866;IPI00871347	IPR007087;IPR015880		KLF8	
a	ENSG00000102554	IPI00015934	IPR007087;IPR015880		KLF5	pancreas;placenta;prostate;skin;tongue;tonsil;trachea
a	ENSG00000102804	IPI00019355;IPI00301610;IPI00903210		IPR000580	TSC22D1	general
a	ENSG00000102878	IPI00008456;IPI00220197	IPR000232;IPR011991		HSF4	general
a	ENSG00000102908	IPI00217710;IPI00218771;IPI00218772;IPI00514115;IPI00877627	IPR002909;IPR008967;IPR011539	IPR008366;IPR015646	NFAT5	
a	ENSG00000102974	IPI00027988;IPI00556456	IPR007087;IPR015880		CTCF	thymus
a	ENSG00000103343	IPI00018955	IPR007087;IPR015880		ZNF174	
a	ENSG00000103449	IPI00004167;IPI00895947	IPR007087;IPR015880		SALL1	spinal.cord;thyroid
a	ENSG00000103495	IPI00008800;IPI00168859;IPI00741332;IPI00869267;IPI00903180	IPR007087;IPR015880		MAZ	general
a	ENSG00000104447	IPI00296078;IPI00853099	IPR000679;IPR007087;IPR015880		TRPS1	general
a	ENSG00000104856	IPI00221034	IPR002909;IPR008967;IPR011539	IPR000451	RELB	
a	ENSG00000104903	IPI00218258	IPR011598		LYL1	bone.marrow;fetal.liver
a	ENSG00000105392	IPI00011226	IPR001356;IPR009057;IPR012287		CRX	
a	ENSG00000105419	IPI00216162;IPI00456373;IPI00549724;IPI00555575;IPI00641253	IPR001356;IPR009057;IPR012287		MEIS3	
a	ENSG00000105497	IPI00000388	IPR007086;IPR007087;IPR015880		ZNF175	
a	ENSG00000105516	IPI00305559	IPR004827;IPR011700		DBP	thyroid
a	ENSG00000105610	IPI00012816	IPR007087;IPR015880		KLF1	bone.marrow;fetal.liver
a	ENSG00000105672	IPI00218640;IPI00654570;IPI00743432;IPI00893164	IPR000418;IPR011991		ETV2	general
a	ENSG00000105698	IPI00020037;IPI00216376;IPI00216377;IPI00432448	IPR011598		USF2	general
a	ENSG00000105708	IPI00414873	IPR007086;IPR007087;IPR015880		ZNF14	general
a	ENSG00000105722	IPI00032936	IPR000418;IPR011991		ERF	general
a	ENSG00000105856	IPI00099615;IPI00550468;IPI00607765	IPR000910;IPR009071		HBP1	whole.blood.JJV
a	ENSG00000105866	IPI00025805	IPR007087;IPR015880		SP4	
a	ENSG00000105880	IPI00008192	IPR000047;IPR001356;IPR009057;IPR012287		DLX5	placenta
a	ENSG00000105967	IPI00016824;IPI00167022;IPI00657986;IPI00852594;IPI00878954	IPR011598		TFEC	
a	ENSG00000105991	IPI00027694	IPR001356;IPR009057;IPR012287		HOXA1	
a	ENSG00000105996	IPI00012049	IPR000047;IPR001356;IPR001827;IPR009057;IPR012287		HOXA2	
a	ENSG00000105997	IPI00012050;IPI00374172	IPR000047;IPR001356;IPR001827;IPR009057;IPR012287		HOXA3	
a	ENSG00000106004	IPI00302291	IPR001356;IPR001827;IPR009057;IPR012287		HOXA5	adrenal.cortex;adrenal.gland;fetal.lung;lung
a	ENSG00000106006	IPI00010742	IPR001356;IPR001827;IPR009057;IPR012287		HOXA6	
a	ENSG00000106031	IPI00305850	IPR001356;IPR009057;IPR012287		HOXA13	
a	ENSG00000106331	IPI00011955;IPI00218426;IPI00465079;IPI00654845;IPI00844339	IPR001356;IPR009057;IPR011991;IPR012287		PAX4	
a	ENSG00000106462	IPI00171252;IPI00376787	IPR001005		EZH2	testis;thymus
a	ENSG00000106511	IPI00030729	IPR001356;IPR009057;IPR012287		MEOX2	fetal.lung
a	ENSG00000106536	IPI00019772;IPI00220088;IPI00879256	IPR000327;IPR001356;IPR009057;IPR010982;IPR012287;IPR013847		POU6F2	
a	ENSG00000106571	IPI00018889	IPR007087;IPR015880		GLI3	general
a	ENSG00000106689	IPI00032144;IPI00647069	IPR001356;IPR009057;IPR012287		LHX2	fetal.brain;whole.brain
a	ENSG00000106852	IPI00294419;IPI00513787;IPI00852614;IPI00853518	IPR001356;IPR009057;IPR012287		LHX6	fetal.brain;whole.brain
a	ENSG00000107175	IPI00014590;IPI00413475	IPR004827;IPR008917;IPR011616		CREB3	smooth.muscle;whole.brain
a	ENSG00000107187	IPI00002747;IPI00182961;IPI00220680	IPR001356;IPR009057;IPR012287		LHX3	pituitary
a	ENSG00000107485	IPI00012901;IPI00216199	IPR000679	IPR016374	GATA3	kidney;placenta;prostate;skin;thymus;whole.blood.JJV
a	ENSG00000107807	IPI00011051	IPR000747;IPR001356;IPR009057;IPR012287		TLX1	
a	ENSG00000107859	IPI00025313	IPR001356;IPR009057;IPR012287	IPR016233	PITX3	
a	ENSG00000108001	IPI00024242;IPI00220430;IPI00514247	IPR002909	IPR003523	EBF3	
a	ENSG00000108064	IPI00020928;IPI00643708;IPI00644515	IPR000910;IPR009071		TFAM	
a	ENSG00000108312	IPI00014533;IPI00220833;IPI00384556	IPR000910;IPR009071		UBTF	general
a	ENSG00000108452	IPI00012394	IPR007087;IPR015880			
a	ENSG00000108511	IPI00015075;IPI00216597;IPI00782933	IPR001356;IPR001827;IPR009057;IPR012287		HOXB6	
a	ENSG00000108753	IPI00020078;IPI00219911;IPI00219912	IPR001356;IPR009057;IPR010982;IPR012287		HNF1B	kidney
a	ENSG00000108788	IPI00005661;IPI00101383;IPI00219786;IPI00556177	IPR011598		MLX	heart
a	ENSG00000108799	IPI00023672	IPR001005		EZH1	lymph.node
a	ENSG00000108813	IPI00024380;IPI00219408;IPI00449036	IPR000047;IPR001356;IPR009057;IPR012287		DLX4	placenta
a	ENSG00000109101	IPI00006163	IPR001766;IPR011991		FOXN1	
a	ENSG00000109132	IPI00293143	IPR001356;IPR009057;IPR012287		PHOX2B	
a	ENSG00000109320	IPI00292537;IPI00788987	IPR002909;IPR008967;IPR011539	IPR000451	NFKB1	smooth.muscle;thymus;tonsil;whole.blood.JJV
a	ENSG00000109381	IPI00009995;IPI00396265;IPI00439925;IPI00607557;IPI00607896	IPR000418;IPR011991		ELF2	general
a	ENSG00000109685	IPI00107486;IPI00218240;IPI00334604	IPR000910;IPR009071		WHSC1	fetal.liver;testis;thymus
a	ENSG00000110693	IPI00218631;IPI00641980;IPI00787755;IPI00872738	IPR000910;IPR009071		SOX6	
a	ENSG00000110851	IPI00296947;IPI00795444	IPR007087;IPR015880	IPR017124	PRDM4	general
a	ENSG00000111046	IPI00011548	IPR011598		MYF6	skeletal.muscle.psoas
a	ENSG00000111049	IPI00008389	IPR011598		MYF5	
a	ENSG00000111087	IPI00027451	IPR007087;IPR015880		GLI1	
a	ENSG00000111145	IPI00018266	IPR000418;IPR011991		ELK3	
a	ENSG00000111206	IPI00032162;IPI00216686;IPI00401044;IPI00789058;IPI00790843;IPI00797711	IPR001766;IPR011991		FOXM1	testis;thymus
a	ENSG00000111249	IPI00022370	IPR001356;IPR003350;IPR009057;IPR012287		CUX2	fetal.brain;liver;whole.brain
a	ENSG00000111269	IPI00015183	IPR011700		CREBL2	adrenal.gland;pituitary;thyroid
a	ENSG00000111424	IPI00005716	IPR001628	IPR000324;IPR001723	VDR	adrenal.cortex;kidney
a	ENSG00000111704	IPI00434539;IPI00740989;IPI00793309;IPI00807368	IPR001356;IPR009057;IPR012287		NANOG	
a	ENSG00000112033	IPI00009330;IPI00219761	IPR001628	IPR001723;IPR003074;IPR003075	PPARD	placenta
a	ENSG00000112182	IPI00029178	IPR004827;IPR008917;IPR011616		BACH2	fetal.brain;tonsil
a	ENSG00000112200	IPI00000725;IPI00375612;IPI00375614	IPR007087;IPR015880		ZNF451	fetal.liver;fetal.lung;lymph.node;spinal.cord
a	ENSG00000112242	IPI00647428;IPI00743509	IPR003316;IPR011991	IPR015633	E2F3	whole.blood.JJV
a	ENSG00000112333	IPI00000354;IPI00843777	IPR001628	IPR000003;IPR001723	NR2E1	
a	ENSG00000112561	IPI00385436;IPI00465427;IPI00647494;IPI00853484;IPI00893531	IPR011598		TFEB	heart;whole.blood.JJV
a	ENSG00000112658	IPI00007879;IPI00556557	IPR002100		SRF	general
a	ENSG00000113196	IPI00014052	IPR011598		HAND1	
a	ENSG00000113430	IPI00019752	IPR001356;IPR009057;IPR012287		IRX4	
a	ENSG00000113580	IPI00022282;IPI00219946;IPI00251749;IPI00555880;IPI00604604;IPI00604725;IPI00759700;IPI00759729	IPR001409;IPR001628	IPR001723	NR3C1	smooth.muscle;whole.blood.JJV
a	ENSG00000113658	IPI00017730;IPI00903182	IPR001132;IPR003619;IPR013019	IPR013790	SMAD5	general
a	ENSG00000113722	IPI00607798;IPI00790637;IPI00795021	IPR000047;IPR001356;IPR009057;IPR012287		CDX1	
a	ENSG00000113916	IPI00012820;IPI00816159	IPR007086;IPR007087;IPR015880		BCL6	ovary;skeletal.muscle.psoas;whole.blood.JJV
a	ENSG00000114126	IPI00029096;IPI00218877;IPI00295550;IPI00296752;IPI00789413;IPI00793226;IPI00795123;IPI00872361	IPR003316;IPR011991	IPR015648;IPR016556	TFDP2	
a	ENSG00000114315	IPI00030964;IPI00791874	IPR011598		HES1	fetal.thyroid;lung;placenta;prostate;skin;thyroid;tongue
a	ENSG00000114861	IPI00023098;IPI00166439;IPI00182980;IPI00220201;IPI00220203;IPI00748383;IPI00790232;IPI00792871;IPI00796132	IPR001766;IPR007087;IPR011991;IPR015880		FOXP1	
a	ENSG00000115112	IPI00005099	IPR007604		TFCP2L1	salivary.gland
a	ENSG00000115297	IPI00013948	IPR001356;IPR009057;IPR012287		TLX2	
a	ENSG00000115415	IPI00030781;IPI00218188;IPI00795482;IPI00797149	IPR008967;IPR012345;IPR013801	IPR001217	STAT1	lymph.node;salivary.gland;smooth.muscle;tonsil;whole.blood.JJV
a	ENSG00000115507	IPI00027682	IPR001356;IPR003026;IPR009057;IPR012287	IPR003025	OTX1	
a	ENSG00000115738	IPI00294210	IPR011598		ID2	general
a	ENSG00000115816	IPI00306723	IPR005612		CEBPZ	
a	ENSG00000115844	IPI00018974;IPI00556089	IPR000047;IPR001356;IPR009057;IPR012287		DLX2	fetal.brain
a	ENSG00000115966	IPI00234446;IPI00748604	IPR004827;IPR007087;IPR011616;IPR015880	IPR016378	ATF2	fetal.brain;thyroid
a	ENSG00000116016	IPI00294084	IPR011598	IPR001067	EPAS1	fetal.lung;lung;placenta
a	ENSG00000116035	IPI00018903	IPR000047;IPR001356;IPR009057;IPR012287		VAX2	
a	ENSG00000116044	IPI00000712;IPI00797911	IPR004827;IPR008917;IPR011616		NFE2L2	general
a	ENSG00000116132	IPI00008822;IPI00221036	IPR001356;IPR009057;IPR012287		PRRX1	smooth.muscle;trachea
a	ENSG00000116539	IPI00020546;IPI00642422	IPR000637		ASH1L	
a	ENSG00000116604	IPI00000784;IPI00216051;IPI00216052;IPI00216053;IPI00216054;IPI00394659;IPI00746421	IPR002100		MEF2D	heart
a	ENSG00000116731	IPI00016780;IPI00219556;IPI00472974;IPI00759628;IPI00872550;IPI00874286	IPR007087;IPR015880	IPR009170	PRDM2	whole.brain
a	ENSG00000116809	IPI00011834;IPI00552525;IPI00556634	IPR007087;IPR015880		ZBTB17	general
a	ENSG00000116819	IPI00237907;IPI00844479	IPR013854	IPR004979	TFAP2E	
a	ENSG00000116833	IPI00011769;IPI00030323;IPI00217284;IPI00217285	IPR001628	IPR000324;IPR001723	NR5A2	pancreas
a	ENSG00000117036	IPI00032598;IPI00514913	IPR000418;IPR011991		ETV3	
a	ENSG00000117318	IPI00219112	IPR011598		ID3	heart;lung;prostate;smooth.muscle;thyroid
a	ENSG00000117595	IPI00024290;IPI00645422	IPR001346;IPR011991		IRF6	
a	ENSG00000117707	IPI00152167	IPR009057	IPR007738	PROX1	
a	ENSG00000118217	IPI00002511	IPR004827;IPR011616		ATF6	general
a	ENSG00000118260	IPI00027713;IPI00218334;IPI00433048	IPR004827;IPR011616	IPR001630	CREB1	appendix;testis;whole.blood.JJV
a	ENSG00000118495	IPI00220818;IPI00375897;IPI00645881	IPR007087;IPR015880		PLAGL1	adrenal.cortex;adrenal.gland;fetal.lung;pituitary;placenta;prostate;uterus
a	ENSG00000118513	IPI00219496;IPI00219497;IPI00219499;IPI00249282;IPI00420046;IPI00471985;IPI00513778;IPI00749442	IPR001005;IPR009057;IPR012287;IPR014778	IPR015495	MYB	bone.marrow;thymus
a	ENSG00000118526	IPI00306587	IPR011598		TCF21	fetal.lung;heart;lung;placenta
a	ENSG00000118922	IPI00027024;IPI00871910	IPR007087;IPR015880		KLF12	general
a	ENSG00000119042	IPI00010433;IPI00386234;IPI00651702	IPR001356;IPR003350;IPR009057;IPR012287		SATB2	fetal.brain;whole.brain
a	ENSG00000119138	IPI00015932	IPR007087;IPR015880		KLF9	fetal.thyroid;lung;uterus
a	ENSG00000119508	IPI00293038;IPI00328269;IPI00334557;IPI00748100	IPR001628	IPR001723;IPR003070;IPR003072	NR4A3	adrenal.cortex;adrenal.gland;skeletal.muscle.psoas
a	ENSG00000119547	IPI00001413	IPR001356;IPR003350;IPR009057;IPR012287		ONECUT2	general
