PMID|Methods|UniPro|SwissP/TrEMBL_A|Gene_names_A|NCBI_tax_ID_A|UniPro|SwissP/TrEMBL_B|Gene_names_B|NCBI_tax_ID_B
10545505|coip:coimmunoprecipitation|Q05397|SP PTK2;FAK1;FAK;focal adhesion kinase 1 (pp125FAK)|9606|P56945|SP BCA|9606
9353320|coip:coimmunoprecipitation|Q12876|TREMBL|PLAUR;Urokinase-type plasminogen activator receptor (uPAR)|9606|P40189|SP|IL6ST;Interleukin-6 receptor beta chain (gp130)|9606
8927054|two hybrid|P27540|SP|ARNT;Aryl hydrocarbon receptor nuclear translocator (ARNT protein)|9606|P27540|SP|ARNT;Aryl hydrocarbon receptor nuclear translocator (ARNT protein)|9606
11901144|coip:coimmunoprecipitation|P98161|SP|PKD1;polycystin 1 precursor (autosomal dominant polycystic kidney disease protein 1)|9606|Q13563|SP|PKD2;polycystin 2 (autosomal dominant polycystic kidney disease type II protein)|9606
11901144|coip:coimmunoprecipitation|Q13563|SP|PKD2;polycystin 2 (autosomal dominant polycystic kidney disease type II protein)|9606|P98161|SP|PKD1;polycystin 1 precursor (autosomal dominant polycystic kidney disease protein 1)|9606
11901144|experimental knowledge based|P98161|SP|PKD1;polycystin 1 precursor (autosomal dominant polycystic kidney disease protein 1)|9606|Q13563|SP|PKD2;polycystin 2 (autosomal dominant polycystic kidney disease type II protein)|9606
8927054|two hybrid|Q16665|SP|HIF1A;Hypoxia-inducible factor 1 alpha (HIF-1 alpha) (MOP1)|9606|P27540|SP|ARNT;Aryl hydrocarbon receptor nuclear translocator (ARNT protein)|9606
8927054|two hybrid|P27540|SP|ARNT;Aryl hydrocarbon receptor nuclear translocator (ARNT protein)|9606|Q16665|SP|HIF1A;Hypoxia-inducible factor 1 alpha (HIF-1 alpha) (MOP1)|9606
8903513|coip:coimmunoprecipitation|P04899|SP|GNAI2;Guanine nucleotide-binding protein G(i), alpha subunit (G(i) alpha-2)|9606|P25024|SP|IL8RA;CXCR1;Interleukin-8 type A receptor|9606
10504303|cross-linking studies|P35555|SP|FBN1;FBN;fibrillin 1 (precursor)|9606|P35556|SP|FBN2;fibrillin 2 (precursor)|9606
9353307|copurification|P04150|SP|GR;Glucocorticoid receptor (GR)|9606|Q00839|SP|HNRPU;Heterogenous nuclear ribonucleoprotein U (nRNP U)|9606
9353307|coip:coimmunoprecipitation|P04150|SP|GR;Glucocorticoid receptor (GR)|9606|Q00839|SP|HNRPU;Heterogenous nuclear ribonucleoprotein U (nRNP U)|9606
9353307|coip:coimmunoprecipitation|Q00839|SP|HNRPU;Heterogenous nuclear ribonucleoprotein U (nRNP U)|9606|P04150|SP|GR;Glucocorticoid receptor (GR)|9606
8816435|coip:coimmunoprecipitation|P27540|SP|ARNT;Aryl hydrocarbon receptor nuclear translocator (ARNT protein)|9606|Q16665|SP|HIF1A;Hypoxia-inducible factor 1 alpha (HIF-1 alpha) (MOP1)|9606
9353299|two hybrid|Q03164|SP|MLL;Zinc finger protein HRX|9606|Q01105|SP|SET;SET protein|9606
9353299|copurification|Q03164|SP|MLL;Zinc finger protein HRX|9606|Q01105|SP|SET;SET protein|9606
9353299|coip:coimmunoprecipitation|Q03164|SP|MLL;Zinc finger protein HRX|9606|Q01105|SP|SET;SET protein|9606
9353299|coip:coimmunoprecipitation|Q01105|SP|SET;SET protein|9606|P30154|SP|PPP2R1B;serine/threonine protein phosphatase 2A, 65 kDa regulatory subunit A, beta isoform|9606
9353299|coip:coimmunoprecipitation|Q01105|SP|SET;SET protein|9606|P05323|SP|PPP2CA;Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform|9606
10490642|two hybrid|Q03164|SP|MLL;HRX;ALL1;TRX1;HTRX;zinc finger protein HRX|9606|O75807|SP|GADD34;apoptosis associated protein (growth arrest and DNA-damage-inducible 34)|9606
10490642|coip:coimmunoprecipitation|Q03164|SP|MLL;HRX;ALL1;TRX1;HTRX;zinc finger protein HRX|9606|O75807|SP|GADD34;apoptosis associated protein (growth arrest and DNA-damage-inducible 34)|9606
10490642|coip:coimmunoprecipitation|Q03164|SP|MLL;HRX;ALL1;TRX1;HTRX;zinc finger protein HRX|9606|O75807|SP|GADD34;apoptosis associated protein (growth arrest and DNA-damage-inducible 34)|9606
10490642|coip:coimmunoprecipitation|Q03164|SP|MLL;HRX;ALL1;TRX1;HTRX;zinc finger protein HRX|9606|O75807|SP|GADD34;apoptosis associated protein (growth arrest and DNA-damage-inducible 34)|9606
11517336|two hybrid|P07948|SP|LYN;tyrosine-protein kinase LYN|9606|O75807|SP|GADD34;apoptosis associated protein (growth arrest and DNA-damage-inducible 34)|9606
11517336|copurification|P07948|SP|LYN;tyrosine-protein kinase LYN|9606|O75807|SP|GADD34;apoptosis associated protein (growth arrest and DNA-damage-inducible 34)|9606
11517336|copurification|P07948|SP|LYN;tyrosine-protein kinase LYN|9606|O75807|SP|GADD34;apoptosis associated protein (growth arrest and DNA-damage-inducible 34)|9606
11517336|coip:coimmunoprecipitation|O75807|SP|GADD34;apoptosis associated protein (growth arrest and DNA-damage-inducible 34)|9606|P07948|SP|LYN;tyrosine-protein kinase LYN|9606
11517336|coip:coimmunoprecipitation|P07948|SP|LYN;tyrosine-protein kinase LYN|9606|O75807|SP|GADD34;apoptosis associated protein (growth arrest and DNA-damage-inducible 34)|9606
8703036|coip:coimmunoprecipitation|Q07954|SP|LRP1;low density lipoprotein receptor-related protein LRP|9606|Q07954|SP|LRP1;low density lipoprotein receptor-related protein LRP|9606
8703036|coip:coimmunoprecipitation|Q07954|SP|LRP1;low density lipoprotein receptor-related protein LRP|9606|Q07954|SP|LRP1;low density lipoprotein receptor-related protein LRP|9606
10486269|two hybrid|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|two hybrid|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|two hybrid|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|two hybrid|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|two hybrid|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|two hybrid|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|coip:coimmunoprecipitation|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|coip:coimmunoprecipitation|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|coip:coimmunoprecipitation|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|coip:coimmunoprecipitation|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606
10486269|copurification|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606
10486269|copurification|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606
10486269|copurification|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606
10486269|copurification|Q92993|SP|HTATIP;TIP60;histone acetyltransferase HTATIP;HIV-1 Tat interactive protein|9606|Q01113|SP|IL-9R;interleukin-9 receptor (precursor)|9606
9346935|far western blotting|Q16587|SP|ZNF74;Zinc finger protein 74|9606|P24978|SP|POLR2A;DNA-directed RNA polymerase II largest subunit|9606
9346935|coip:coimmunoprecipitation|Q16587|SP|ZNF74;Zinc finger protein 74|9606|P24978|SP|POLR2A;DNA-directed RNA polymerase II largest subunit|9606
10477597|coip:coimmunoprecipitation|Q8IVH8|SP|MAP4K3;mitogen-activated protein kinase kinase kinase kinase 3;germinal center kinase related protein;MAPK/ERK kinase kinase kinase 3|9606|Q12933|SP|TRAF2;TRAP3;TNF receptor associated factor 2 (TRAF2;tumor necrosis factor type 2 receptor associated protein 3)|9606
10477597|coip:coimmunoprecipitation|Q8IVH8|SP|MAP4K3;mitogen-activated protein kinase kinase kinase kinase 3;germinal center kinase related protein;MAPK/ERK kinase kinase kinase 3|9606|Q12933|SP|TRAF2;TRAP3;TNF receptor associated factor 2 (TRAF2;tumor necrosis factor type 2 receptor associated protein 3)|9606
10477597|coip:coimmunoprecipitation|Q12933|SP|TRAF2;TRAP3;TNF receptor associated factor 2 (TRAF2;tumor necrosis factor type 2 receptor associated protein 3)|9606|Q8IVH8|SP|MAP4K3;mitogen-activated protein kinase kinase kinase kinase 3;germinal center kinase related protein;MAPK/ERK kinase kinase kinase 3|9606
10477597|coip:coimmunoprecipitation|Q8IVH8|SP|MAP4K3;mitogen-activated protein kinase kinase kinase kinase 3;germinal center kinase related protein;MAPK/ERK kinase kinase kinase 3|9606|Q12933|SP|TRAF2;TRAP3;TNF receptor associated factor 2 (TRAF2;tumor necrosis factor type 2 receptor associated protein 3)|9606
9325245|coip:coimmunoprecipitation|P13224|SP|GP1BB;Platelet glycoprotein Ib beta chain precursor (GP-Ib beta)|9606|P07359|SP|GP1BA;Platelet glycoprotein Ib alpha chain precursor|9606
8702870|coip:coimmunoprecipitation|Q13043|SP|MST1;STK4;serine/threonine kinase 4 (STE20-like kinase MST1)|9606|Q13043|SP|MST1;STK4;serine/threonine kinase 4 (STE20-like kinase MST1)|9606
8702870|two hybrid|Q13043|SP|MST1;STK4;serine/threonine kinase 4 (STE20-like kinase MST1)|9606|Q13043|SP|MST1;STK4;serine/threonine kinase 4 (STE20-like kinase MST1)|9606
8702870|cross-linking studies|Q13043|SP|MST1;STK4;serine/threonine kinase 4 (STE20-like kinase MST1)|9606|Q13043|SP|MST1;STK4;serine/threonine kinase 4 (STE20-like kinase MST1)|9606
9326449|coip:coimmunoprecipitation|P35221|SP|CTNNA1;Alpha-1 catenin|9606|P12814|SP|ACTN1;Alpha-actinin 1|9606
9326449|coip:coimmunoprecipitation|P12830|SP|CDH1;Epithelial-cadherin precursor (E-cadherin)|9606|P35222|SP|CTNNB1;Beta-catenin|9606
9326449|coip:coimmunoprecipitation|P35222|SP|CTNNB1;Beta-catenin|9606|P12830|SP|CDH1;Epithelial-cadherin precursor (E-cadherin)|9606
9326449|coip:coimmunoprecipitation|P12830|SP|CDH1;Epithelial-cadherin precursor (E-cadherin)|9606|P35221|SP|CTNNA1;Alpha-1 catenin|9606
10446910|coip:coimmunoprecipitation|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606|P23511|SP|NFYA;NF-Y protein chain A (CCAAT-binding transcription factor subunit B)|9606
9299436|two hybrid|P29354|SP|GRB2 or ASH;growth factor receptor-bound protein 2 (isoform GRB3-3);GRB2 adapter protein (isoform GRB3-3);SH2/SH3 adapter GRB2 (isoform GRB3-3)|9606|P00813|SP|ADA;Adenosine deaminase(ADA)|9606
9299436|copurification|P00813|SP|ADA;Adenosine deaminase(ADA)|9606|P29354|SP|GRB2 or ASH;growth factor receptor-bound protein 2 (isoform GRB3-3);GRB2 adapter protein (isoform GRB3-3);SH2/SH3 adapter GRB2 (isoform GRB3-3)|9606
9299436|coip:coimmunoprecipitation|P00813|SP|ADA;Adenosine deaminase(ADA)|9606|P29354|SP|GRB2 or ASH;growth factor receptor-bound protein 2 (isoform GRB3-3);GRB2 adapter protein (isoform GRB3-3);SH2/SH3 adapter GRB2 (isoform GRB3-3)|9606
929417|coip:coimmunoprecipitation|Q15401|TREMBL|LINE-1 retrotransposon protein (ORF1)|9606|Q15401|TREMBL|LINE-1 retrotransposon protein (ORF1)|9606
9269765|coip:coimmunoprecipitation|P02749|SP|APOH;Beta-2-glycoprotein I precursor|9606|P08519|SP|LPA;Apolipoprotein(a)|9606
10444072|coip:coimmunoprecipitation|P23258|SP|TUBG;tubulin gamma-1 chain|9606|P05783|SP|KRT18;CYK18;keratin, type I cytoskeletal 18 (cytokeratin 18)|9606
10444072|coip:coimmunoprecipitation|P23258|SP|TUBG;tubulin gamma-1 chain|9606|P08727|SP|KRT19;keratin, type I cytoskeletal 19 (cytokeratin 19)|9606
9242679|coip:coimmunoprecipitation|Q00978|SP|SGF3G;Transcriptional regulator ISGF3 gamma subunit (p48)|9606|P52630|SP|STAT2;Signal transducer and activator of transcription 2|9606
9242679|copurification|Q00978|SP|SGF3G;Transcriptional regulator ISGF3 gamma subunit (p48)|9606|P52630|SP|STAT2;Signal transducer and activator of transcription 2|9606
9242679|copurification|P52630|SP|STAT2;Signal transducer and activator of transcription 2|9606|Q00978|SP|SGF3G;Transcriptional regulator ISGF3 gamma subunit (p48)|9606
8663389|experimental knowledge based|P18428|SP|LBP;Lipopolysaccharide-binding protein LBP|9606|P02647|SP|APOA1;Apolipoprotein A-I|9606
9270879;12226755|coip:coimmunoprecipitation|P19174|SP|PLCG1;PLC1;1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma 1;PLC-gamma-1;Phosphoinositide phospholipase C;Phospholipase C-gamma-1|9606|P02570|SP|ACTB;Actin, cytoplasmic 1|9606
8663389|experimental knowledge based|P18428|SP|LBP;Lipopolysaccharide-binding protein LBP|9606|Q03591|SP|FHR1;Complement factor H-related protein 1 FHRP-1|9606
8663389|coip:coimmunoprecipitation|Q03591|SP|FHR1;Complement factor H-related protein 1 FHRP-1|9606|P18428|SP|LBP;Lipopolysaccharide-binding protein LBP|9606
10436022|copurification|Q13492|SP|PICALM;CALM;clathrin assembly lymphoid myeloid leukemia protein|9606|Q00610|SP|CLTC;CLH17;KIAA0034;clathrin heavy chain 1|9606
10436022|copurification|Q13492|SP|PICALM;CALM;clathrin assembly lymphoid myeloid leukemia protein|9606|Q00610|SP|CLTC;CLH17;KIAA0034;clathrin heavy chain 1|9606
10436022|coip:coimmunoprecipitation|Q13492|SP|PICALM;CALM;clathrin assembly lymphoid myeloid leukemia protein|9606|Q00610|SP|CLTC;CLH17;KIAA0034;clathrin heavy chain 1|9606
10436022|coip:coimmunoprecipitation|Q00610|SP|CLTC;CLH17;KIAA0034;clathrin heavy chain 1|9606|Q13492|SP|PICALM;CALM;clathrin assembly lymphoid myeloid leukemia protein|9606
10436022|coip:coimmunoprecipitation|Q13492|SP|PICALM;CALM;clathrin assembly lymphoid myeloid leukemia protein|9606|Q00610|SP|CLTC;CLH17;KIAA0034;clathrin heavy chain 1|9606
10436022|coip:coimmunoprecipitation|Q13492|SP|PICALM;CALM;clathrin assembly lymphoid myeloid leukemia protein|9606|Q00610|SP|CLTC;CLH17;KIAA0034;clathrin heavy chain 1|9606
10430017|two hybrid|P56589|SP|PEX3;peroxisomal assembly protein PEX3|9606|P40855|SP|PXF;HK33;PEX1;peroxisomal farnesylated protein PEX19|9606
10430017|coip:coimmunoprecipitation|P56589|SP|PEX3;peroxisomal assembly protein PEX3|9606|P40855|SP|PXF;HK33;PEX1;peroxisomal farnesylated protein PEX19|9606
9202294|coip:coimmunoprecipitation|P05067|SP|APP;Amyloid beta A4 protein|9606|P02649|SP|APOE;Apolipoprotein E|9606
9202294|coip:coimmunoprecipitation|P05067|SP|APP;Amyloid beta A4 protein|9606|P02649|SP|APOE;Apolipoprotein E|9606
9200449|two hybrid|P16410|SP|CTLA4;Cytotoxic T-lymphocyte protein 4 (CTLA-4)|9606|P20172|SP|AP2M1;Clathrin coat assembly protein AP50 (AP-2 mu 2 chain)|9606
9200449|coip:coimmunoprecipitation|P16410|SP|CTLA4;Cytotoxic T-lymphocyte protein 4 (CTLA-4)|9606|P20172|SP|AP2M1;Clathrin coat assembly protein AP50 (AP-2 mu 2 chain)|9606
8662954|coip:coimmunoprecipitation|P35638|SP|DDIT3;CHOP;GADD153;Growth arrest and DNA-damage-inducible protein GADD153 (DNA-damage inducible transcript 3) (DDIT3) (C/EBP-homologous protein)|9606|P17676|SP|CEBPB;TCF5;CCAAT/enhancer binding protein beta (C/EBP beta) (Nuclear factor NF-IL6) (Transcription factor 5)|9606
8662954|coip:coimmunoprecipitation|P17676|SP|CEBPB;TCF5;CCAAT/enhancer binding protein beta (C/EBP beta) (Nuclear factor NF-IL6) (Transcription factor 5)|9606|P35638|SP|DDIT3;CHOP;GADD153;Growth arrest and DNA-damage-inducible protein GADD153 (DNA-damage inducible transcript 3) (DDIT3) (C/EBP-homologous protein)|9606
8657141|copurification|Q01094|SP|E2F1;RBBP3;transcription factor E2F1|9606|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606
8657141|copurification|Q01094|SP|E2F1;RBBP3;transcription factor E2F1|9606|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606
8657141|copurification|Q01094|SP|E2F1;RBBP3;transcription factor E2F1|9606|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606
8657141|copurification|Q01094|SP|E2F1;RBBP3;transcription factor E2F1|9606|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606
